Date,Open,High,Low,Close,Adj Close,Volume
1/3/2017,43.279999,43.459999,42.134998,42.82,42.82,705400
1/4/2017,43.259998,44.419998,42.849998,44.139999,44.139999,848100
1/5/2017,44.470001,47.939999,44.25,47.68,47.68,5070200
1/6/2017,47.360001,47.650002,45.700001,46.900002,46.900002,2061300
1/9/2017,47.110001,47.540001,46.700001,47.18,47.18,921100
1/10/2017,47.02,49.130001,47.02,47.869999,47.869999,1600900
1/11/2017,47.93,48.709999,47.280998,48.330002,48.330002,947600
1/12/2017,48.639999,48.849998,47.610001,48.580002,48.580002,928900
1/13/2017,48.580002,49.43,48.02,48.099998,48.099998,1054200
1/17/2017,48.830002,49.75,48.310001,49.52,49.52,1306000
1/18/2017,49.66,50,49.040001,49.98,49.98,845700
1/19/2017,50.119999,51.130001,49.900002,50.66,50.66,1000300
1/20/2017,50.77,51.369999,49.870998,50.09,50.09,916300
1/23/2017,50.099998,50.349998,49.25,49.439999,49.439999,871600
1/24/2017,49.860001,50,48.93,49.419998,49.419998,852300
1/25/2017,50.110001,51.98,50.02,51.360001,51.360001,1116200
1/26/2017,51.810001,52,50.650002,51.009998,51.009998,837100
1/27/2017,51,51.639999,51,51.540001,51.540001,532300
1/30/2017,51.610001,51.73,49.970001,50.700001,50.700001,937700
1/31/2017,50.34,50.849998,50.169998,50.82,50.82,704300
2/1/2017,51.639999,51.707001,50.619999,51.189999,51.189999,551900
2/2/2017,51.18,52.650002,51.040001,52.32,52.32,954800
2/3/2017,52.610001,52.630001,51.400002,52.119999,52.119999,768900
2/6/2017,52.189999,52.740002,51.459999,52.68,52.68,421000
2/7/2017,52.990002,53.66,52.650002,53.130001,53.130001,680900
2/8/2017,53.59,53.639999,52.73,53.369999,53.369999,704300
2/9/2017,53.75,55,53.75,54.610001,54.610001,900000
2/10/2017,55.23,56.25,54.900002,55.220001,55.220001,1785200
2/13/2017,56.009998,57.16,55.32,56.049999,56.049999,2540800
2/14/2017,56.32,56.32,55.150002,56.049999,56.049999,1966600
2/15/2017,54.869999,61.490002,54.299999,60.610001,60.610001,5696900
2/16/2017,61.18,62.470001,59.560001,60.970001,60.970001,2186600
2/17/2017,60.759998,61.68,60.029999,61.52,61.52,1194300
2/21/2017,62.150002,63.93,61.860001,63.080002,63.080002,1951500
2/22/2017,63,63.799999,61.779999,63.59,63.59,1198400
2/23/2017,64.169998,64.360001,61.830002,62.73,62.73,1469700
2/24/2017,62.02,62.279999,60.591,61.75,61.75,1168400
2/27/2017,61.799999,61.869999,59.82,59.93,59.93,1534300
2/28/2017,59.470001,60.84,59.150002,59.209999,59.209999,1134200
3/1/2017,60.169998,60.169998,59.02,59.650002,59.650002,1101800
3/2/2017,59.720001,60.650002,59.48,59.669998,59.669998,964100
3/3/2017,59.639999,60.380001,59.119999,60.290001,60.290001,989300
3/6/2017,59.939999,60.259998,58.626999,59.32,59.32,698500
3/7/2017,59.290001,60.66,59.200001,60.130001,60.130001,1083400
3/8/2017,60.25,61.5,60.080002,60.91,60.91,875100
3/9/2017,61.060001,62.529999,60.715,62.389999,62.389999,995900
3/10/2017,63.400002,64.330002,62.5,64.150002,64.150002,1218000
3/13/2017,64.379997,65.209999,63.959999,64.93,64.93,1003200
3/14/2017,64.620003,64.730003,63.52,63.830002,63.830002,701800
3/15/2017,64.029999,64.989998,63.080002,64.839996,64.839996,882300
3/16/2017,65.010002,65.300003,64.559998,64.989998,64.989998,541000
3/17/2017,65.489998,67.389999,65.279999,66.989998,66.989998,1494600
3/20/2017,67.360001,68.916,67.199997,68.860001,68.860001,1805900
3/21/2017,69.93,71.57,66.839996,67.190002,67.190002,3630400
3/22/2017,66.970001,67.480003,64.75,66.709999,66.709999,1445800
3/23/2017,66.809998,68.300003,66.730003,67.580002,67.580002,1307600
3/24/2017,68.010002,70.108002,67.690002,68.980003,68.980003,1462500
3/27/2017,68.300003,70.75,67.330002,70.400002,70.400002,1620900
3/28/2017,70.660004,73,70.551003,72.370003,72.370003,1740800
3/29/2017,72.779999,72.989998,70.800003,72.720001,72.720001,1565400
3/30/2017,72.690002,72.864998,68.720001,69.050003,69.050003,3092500
3/31/2017,67.860001,69.440002,67.050003,68.089996,68.089996,2664200
4/3/2017,68.160004,69.348999,67.220001,69.230003,69.230003,1387900
4/4/2017,69.230003,70,68.160004,68.529999,68.529999,1013600
4/5/2017,68.849998,69.639999,67.730003,67.889999,67.889999,1013700
4/6/2017,67.910004,68.875,67.910004,68.519997,68.519997,840200
4/7/2017,68.580002,68.982002,68.279999,68.709999,68.709999,475000
